NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
Casa de Valencia,4.0,0.2006,0.1675,0.2196,0.2128
Hevia,4.0,0.1400,0.1221,0.1536,0.1476
Humbolt,4.0,0.1827,0.1566,0.2005,0.1879
Phillips,4.0,0.1471,0.1240,0.1617,0.1507
Poblacion Argentina,4.0,0.1943,0.1813,0.2299,0.1912
Poblacion Canal Chacao,4.0,0.2228,0.1807,0.2551,0.2265
San Gregorio,4.0,0.1260,0.1113,0.1354,0.1286
Valencia Bajo,4.0,0.1457,0.1258,0.1600,0.1504
Villa Paso Hondo,4.0,0.2430,0.2062,0.2736,0.2694
Calicheros,5.0,0.1643,0.1236,0.2023,-9999.0000
Belloto 2000,5.0,0.0968,0.0900,0.1023,-9999.0000
Belloto Centro,5.0,0.0986,0.0903,0.1144,-9999.0000
Bernando Ohiggins,5.0,0.1156,0.1047,0.1251,-9999.0000
Cruz del Sur,5.0,0.1000,0.0902,0.1099,-9999.0000
82,5.0,0.1275,0.1173,0.1466,-9999.0000
Belloto Norte,5.0,0.1259,0.0902,0.1487,-9999.0000
E.E.U.U,5.0,0.1356,0.1185,0.1554,-9999.0000
Lincoyan,5.0,0.1254,0.1099,0.1349,-9999.0000
Los Colonos,5.0,0.1965,0.1744,0.2240,-9999.0000
Patricio Lynch,5.0,0.1757,0.1529,0.2013,-9999.0000
Santa Marta,5.0,0.1763,0.1580,0.1996,-9999.0000
Cantera,5.0,0.1013,0.0928,0.1178,-9999.0000
Decimo Sector,5.0,0.1125,0.1077,0.1323,-9999.0000
Estero Viejo,5.0,0.1073,0.0926,0.1183,-9999.0000
Matilde,5.0,0.1404,0.1188,0.1772,-9999.0000
San Cristobal,5.0,0.1429,0.1341,0.1611,-9999.0000
Tierras Rojas,5.0,0.1200,0.1124,0.1319,-9999.0000
Decimo Sector,5.0,0.1310,0.1124,0.1518,-9999.0000
Matilde,5.0,0.1213,0.1032,0.1561,-9999.0000
Los Pinos,5.0,0.1876,0.1511,0.2196,-9999.0000
Marga Marga,5.0,0.1748,0.1505,0.2057,-9999.0000
60,5.0,0.1315,0.1227,0.1656,-9999.0000
Castillo Blanco,5.0,0.1210,0.1077,0.1284,-9999.0000
El Tranque,5.0,0.1565,0.1333,0.1629,-9999.0000
Jose Miguel Carrera,5.0,0.1072,0.0887,0.1303,-9999.0000
Las Rosas,5.0,0.1153,0.1005,0.1249,-9999.0000
Piloto Pardo,5.0,0.1219,0.1182,0.1453,-9999.0000
Porvenir,5.0,0.2366,0.1866,0.2653,-9999.0000
Textil Viña,5.0,0.0950,0.0893,0.1129,-9999.0000
21 de Mayo,5.0,0.1430,0.1323,0.1680,-9999.0000
Barros Arana,5.0,0.1609,0.1346,0.1787,-9999.0000
La Granja,5.0,0.1572,0.1351,0.1687,-9999.0000
Las Viñas,5.0,0.1702,0.1500,0.1791,-9999.0000
Los Estanques,5.0,0.1406,0.1289,0.1573,-9999.0000
